#separator:Semicolon
#deck:A Pali Primer
#html:true
#tags column:3
Buddha / Tathāgata / Sugata;the Buddha<br><i>Masculine noun ending in -a</i>;Lesson 1
manussa;man, human being<br><i>Masculine noun ending in -a</i>;Lesson 1
nara / purisa;man, person<br><i>Masculine noun ending in -a</i>;Lesson 1
kassaka;farmer<br><i>Masculine noun ending in -a</i>;Lesson 1
brāhmaṇa;brahmin<br><i>Masculine noun ending in -a</i>;Lesson 1
putta;son<br><i>Masculine noun ending in -a</i>;Lesson 1
mātula;uncle<br><i>Masculine noun ending in -a</i>;Lesson 1
kumāra;boy<br><i>Masculine noun ending in -a</i>;Lesson 1
vānija;merchant<br><i>Masculine noun ending in -a</i>;Lesson 1
bhūpāla;king<br><i>Masculine noun ending in -a</i>;Lesson 1
sahāya / sahāyaka / mitta<br><i>Masculine noun ending in -a</i>;friend;Lesson 1
bhāsati;speaks;Lesson 1
pacati;cooks;Lesson 1
kasati;ploughs;Lesson 1
bhuñjati;eats;Lesson 1
sayati;sleeps;Lesson 1
passati;sees;Lesson 1
chindati;cuts;Lesson 1
gacchati;goes;Lesson 1
āgacchati;comes;Lesson 1
dhāvati;runs;Lesson 1
dhamma;the doctrine, truth<br><i>Masculine noun ending in -a</i>;Lesson 2
bhatta;rice<br><i>Masculine noun ending in -a</i>;Lesson 2
odana;cooked rice<br><i>Masculine noun ending in -a</i>;Lesson 2
gāma;village<br><i>Masculine noun ending in -a</i>;Lesson 2
suriya;sun<br><i>Masculine noun ending in -a</i>;Lesson 2
candā;moon<br><i>Masculine noun ending in -a</i>;Lesson 2
kukkura / sunakha / soṇa;dog<br><i>Masculine noun ending in -a</i>;Lesson 2
vihāra;monastery<br><i>Masculine noun ending in -a</i>;Lesson 2
patta;bowl<br><i>Masculine noun ending in -a</i>;Lesson 2
āvāṭa;pit<br><i>Masculine noun ending in -a</i>;Lesson 2
pabbata;mountain<br><i>Masculine noun ending in -a</i>;Lesson 2
yācaka;beggar<br><i>Masculine noun ending in -a</i>;Lesson 2
sigāla;jackal<br><i>Masculine noun ending in -a</i>;Lesson 2
rukkha;tree<br><i>Masculine noun ending in -a</i>;Lesson 2
harati;carries, takes away;Lesson 2
āharati;brings;Lesson 2
āruhati;climbs, ascends;Lesson 2
oruhati;descends;Lesson 2
yācati;begs;Lesson 2
khaṇati;digs;Lesson 2
vijjhati;shoots;Lesson 2
paharati;hits, strikes;Lesson 2
rakkhati;protects;Lesson 2
vandati;worships, salutes;Lesson 2
ratha;vehicle, chariot<br><i>Masculine noun ending in -a</i>;Lesson 3
sakaṭa;cart<br><i>Masculine noun ending in -a</i>;Lesson 3
hattha;hand<br><i>Masculine noun ending in -a</i>;Lesson 3
pāda;foot<br><i>Masculine noun ending in -a</i>;Lesson 3
magga;path<br><i>Masculine noun ending in -a</i>;Lesson 3
dīpa;island, lamp<br><i>Masculine noun ending in -a</i>;Lesson 3
sāvaka;disciple<br><i>Masculine noun ending in -a</i>;Lesson 3
samaṇa;recluse, monk<br><i>Masculine noun ending in -a</i>;Lesson 3
sagga;heaven<br><i>Masculine noun ending in -a</i>;Lesson 3
assa;horse<br><i>Masculine noun ending in -a</i>;Lesson 3
miga;deer<br><i>Masculine noun ending in -a</i>;Lesson 3
sara;arrow<br><i>Masculine noun ending in -a</i>;Lesson 3
pāsāṇa;rock, stone<br><i>Masculine noun ending in -a</i>;Lesson 3
kakaca;saw<br><i>Masculine noun ending in -a</i>;Lesson 3
khagga;sword<br><i>Masculine noun ending in -a</i>;Lesson 3
cora;thief<br><i>Masculine noun ending in -a</i>;Lesson 3
paṇḍita;wise man<br><i>Masculine noun ending in -a</i>;Lesson 3
sadddhiṃ / saha;with<br><i>Used with instrumental case, but normally with things, just people.</i>;Lesson 3
